time,raw_bytes,P299_Com_bCrCtlInhib,P299_Com_bCrCtlInhib_recalculated,P299_Com_bCrCtlInhib_ok,all_checksums_ok,P337_Com_stPrkBrk
3.393,00 00 00 00 80 F1 00 41,0,0,True,True,0
3.413,00 00 00 00 80 C1 00 53,0,0,True,True,0
3.433,00 00 00 00 80 81 00 66,0,0,True,True,0
3.453,00 00 00 00 80 81 00 75,0,0,True,True,0
3.474,00 00 00 00 80 B1 00 81,0,0,True,True,0
3.494,00 00 00 00 80 81 00 93,0,0,True,True,0
3.513,00 00 00 00 80 C1 00 AE,0,0,True,True,0
3.533,00 00 00 00 80 71 00 B2,0,0,True,True,0
3.554,00 00 00 00 80 C1 00 CC,0,0,True,True,0
3.574,00 00 00 00 80 E1 00 D9,0,0,True,True,0
3.593,00 00 00 00 80 81 00 EE,0,0,True,True,0
3.614,00 00 00 00 80 11 00 F4,0,0,True,True,0
3.633,00 00 00 00 80 C1 00 08,0,0,True,True,0
3.654,00 00 00 00 81 01 00 12,0,0,True,True,0
3.674,00 00 00 00 80 81 00 2A,0,0,True,True,0
3.693,00 00 00 00 80 51 00 3C,0,0,True,True,0
3.714,00 00 00 00 80 C1 00 44,0,0,True,True,0
3.733,00 00 00 00 81 21 00 5C,0,0,True,True,0
3.754,00 00 00 00 80 B1 00 63,0,0,True,True,0
3.774,00 00 00 00 80 71 00 76,0,0,True,True,0
3.793,00 00 00 00 80 71 00 85,0,0,True,True,0
3.813,00 00 00 00 81 01 00 9A,0,0,True,True,0
3.833,00 00 00 00 80 F1 00 AB,0,0,True,True,0
3.853,00 00 00 00 80 71 00 B2,0,0,True,True,0
3.874,00 00 00 00 80 71 00 C1,0,0,True,True,0
3.893,00 00 00 00 80 E1 00 D9,0,0,True,True,0
3.914,00 00 00 00 80 C1 00 EA,0,0,True,True,0
3.933,00 00 00 00 80 71 00 FE,0,0,True,True,0
3.954,00 00 00 00 80 81 00 0C,0,0,True,True,0
3.974,00 00 00 00 80 E1 00 15,0,0,True,True,0
3.993,00 00 00 00 80 E1 00 24,0,0,True,True,0
4.014,00 00 00 00 80 B1 00 36,0,0,True,True,0
4.034,00 00 00 00 80 71 00 49,0,0,True,True,0
4.054,00 00 00 00 80 C1 00 53,0,0,True,True,0
4.073,00 00 00 00 80 81 00 66,0,0,True,True,0
4.094,00 00 00 00 80 91 00 74,0,0,True,True,0
4.114,00 00 00 00 80 91 00 83,0,0,True,True,0
4.134,00 00 00 00 81 01 00 9A,0,0,True,True,0
4.154,00 00 00 00 81 01 00 A9,0,0,True,True,0
4.173,00 00 00 00 80 91 00 B0,0,0,True,True,0
4.194,00 00 00 00 80 71 00 C1,0,0,True,True,0
4.214,00 00 00 00 80 C1 00 DB,0,0,True,True,0
4.234,00 00 00 00 80 E1 00 E8,0,0,True,True,0
4.254,00 00 00 00 80 71 00 FE,0,0,True,True,0
4.273,00 00 00 00 80 71 00 0D,0,0,True,True,0
4.294,00 00 00 00 80 C1 00 17,0,0,True,True,0
4.313,00 00 00 00 80 F1 00 23,0,0,True,True,0
4.334,00 00 00 00 80 81 00 39,0,0,True,True,0
4.353,00 00 00 00 80 81 00 48,0,0,True,True,0
4.374,00 00 00 00 80 C1 00 53,0,0,True,True,0
4.394,00 00 00 00 81 21 00 6B,0,0,True,True,0
4.413,00 00 00 00 80 B1 00 72,0,0,True,True,0
4.434,00 00 00 00 80 B1 00 81,0,0,True,True,0
4.453,00 00 00 00 80 E1 00 9D,0,0,True,True,0
4.474,00 00 00 00 81 01 00 A9,0,0,True,True,0
4.494,00 00 00 00 80 E1 00 BB,0,0,True,True,0
4.513,00 00 00 00 80 91 00 CF,0,0,True,True,0
4.533,00 00 00 00 80 B1 00 DC,0,0,True,True,0
4.553,00 00 00 00 80 E1 00 E8,0,0,True,True,0
4.574,00 00 00 00 80 B1 00 FA,0,0,True,True,0
4.594,00 00 00 00 80 81 00 0C,0,0,True,True,0
4.613,00 00 00 00 80 81 00 1B,0,0,True,True,0
4.633,00 00 00 00 81 01 00 21,0,0,True,True,0
4.653,00 00 00 00 80 C1 00 35,0,0,True,True,0
4.674,00 00 00 00 80 71 00 49,0,0,True,True,0
4.694,00 00 00 00 80 91 00 56,0,0,True,True,0
4.713,00 00 00 00 80 E1 00 60,0,0,True,True,0
4.734,00 00 00 00 80 C1 00 71,0,0,True,True,0
4.753,00 00 00 00 80 51 00 87,0,0,True,True,0
4.774,00 00 00 00 80 51 00 96,0,0,True,True,0
4.794,00 00 00 00 80 B1 00 AF,0,0,True,True,0
4.813,00 00 00 00 80 B1 00 BE,0,0,True,True,0
4.834,00 00 00 00 80 81 00 C0,0,0,True,True,0
4.853,00 00 00 00 80 71 00 D0,0,0,True,True,0
4.874,00 00 00 00 80 E1 00 E8,0,0,True,True,0
4.893,00 00 00 00 80 F1 00 F6,0,0,True,True,0
4.914,00 00 00 00 80 C1 00 08,0,0,True,True,0
4.933,00 00 00 00 80 91 00 1A,0,0,True,True,0
4.954,00 00 00 00 80 B1 00 27,0,0,True,True,0
4.974,00 00 00 00 80 E1 00 33,0,0,True,True,0
4.993,00 00 00 00 80 C1 00 44,0,0,True,True,0
5.014,00 00 00 00 80 B1 00 54,0,0,True,True,0
5.033,00 00 00 00 80 91 00 65,0,0,True,True,0
5.054,00 00 00 00 80 C1 00 71,0,0,True,True,0
5.074,00 00 00 00 80 B1 00 81,0,0,True,True,0
5.093,00 00 00 00 80 81 00 93,0,0,True,True,0
5.114,00 00 00 00 80 B1 00 AF,0,0,True,True,0
5.134,00 00 00 00 81 21 00 B6,0,0,True,True,0
5.154,00 00 00 00 80 B1 00 CD,0,0,True,True,0
5.173,00 00 00 00 80 41 00 D3,0,0,True,True,0
5.194,00 00 00 00 80 91 00 ED,0,0,True,True,0
5.217,00 00 00 00 81 21 00 F2,0,0,True,True,0
